user_id,persona,months_of_history,n_transactions,income_regularity,avg_monthly_income,savings_ratio,bill_payment_count,bill_payment_regularity,transaction_diversity,spending_to_income_ratio,balance_volatility,max_single_txn_pct_balance,circular_transfer_flag,balance_consistency_pass,composite_score,risk_label,tier
U0000_45dbab,risky_irregular,7,160,0.171,3657.67,-0.018,8,0.179,0.848,1.018,1.57,5.61,False,True,0.24074999999999996,high_risk,Bronze
U0001_227f1e,seasonal_farmer,5,87,0.0,98500.21,0.773,8,0.226,0.918,0.227,0.594,0.1,True,True,0.3601,fraud_flag,Rejected - Fraud Review
U0002_a8281a,risky_irregular,7,179,0.064,839.31,-0.25,18,0.0,0.848,1.25,2.446,10.62,False,True,0.14959999999999998,high_risk,Bronze
U0003_585ddd,thin_file_new_user,2,37,0.733,1045.68,-0.453,4,0.026,0.871,1.453,1.721,5.13,False,True,0.39499999999999996,insufficient_history,Pending - Needs More History
U0004_e0c5e6,stable_shop_owner,7,235,0.042,3688.45,-0.089,31,0.0,0.898,1.089,1.763,5.13,False,True,0.14939999999999998,high_risk,Bronze
U0005_90ee97,fraud_gaming,6,75,0.0,1753.76,-0.038,3,0.693,0.861,1.038,3.267,27.8,True,False,0.33704999999999996,fraud_flag,Rejected - Fraud Review
U0006_6b81f3,risky_irregular,7,137,0.16,2343.86,-0.019,10,0.3,0.837,1.019,2.108,7.88,False,True,0.27154999999999996,high_risk,Bronze
U0007_31dba9,risky_irregular,7,155,0.488,1984.22,-0.195,17,0.069,0.838,1.195,2.166,9.9,False,True,0.3171999999999999,medium_risk,Silver
U0008_31d089,stable_shop_owner,7,247,0.45,5638.58,-0.038,24,0.254,0.878,1.038,1.59,4.28,False,True,0.3654,medium_risk,Silver
U0009_a3560a,gig_worker,7,346,0.622,8337.93,-0.015,27,0.208,0.88,1.015,1.509,5.79,False,True,0.41209999999999997,low_risk,Platinum/Gold
U0010_4476d0,seasonal_farmer,5,79,0.531,114330.92,0.834,7,0.0,0.902,0.166,0.498,0.1,False,True,0.48795,low_risk,Platinum/Gold
U0011_b2c6b7,fraud_gaming,7,102,0.0,4198.91,-0.089,9,0.0,0.895,1.089,3.354,33.08,True,False,0.13425,fraud_flag,Rejected - Fraud Review
U0012_9269cb,thin_file_new_user,2,30,0.898,476.04,-0.575,5,0.086,0.845,1.575,3.054,12.86,False,True,0.46685,insufficient_history,Pending - Needs More History
U0013_8406d3,risky_irregular,7,171,0.511,2944.08,-0.075,16,0.06,0.853,1.075,1.814,6.58,False,True,0.3248,medium_risk,Silver
U0014_a85919,seasonal_farmer,7,69,0.031,113195.06,0.87,11,0.0,0.954,0.13,0.438,0.11,False,True,0.32794999999999996,medium_risk,Silver
U0015_990bba,stable_shop_owner,7,245,0.694,8063.01,-0.015,22,0.276,0.932,1.015,1.467,6.25,True,True,0.4655,fraud_flag,Rejected - Fraud Review
U0016_0b4fcb,gig_worker,7,333,0.612,5616.58,-0.063,50,0.162,0.858,1.063,1.752,5.51,False,True,0.39149999999999996,low_risk,Platinum/Gold
U0017_a004e8,stable_shop_owner,7,245,0.362,5463.37,-0.01,27,0.087,0.921,1.01,1.646,3.95,False,True,0.29095,high_risk,Bronze
U0018_c3e64b,risky_irregular,7,164,0.393,748.71,-0.171,17,0.0,0.883,1.171,2.978,14.01,False,True,0.27,high_risk,Bronze
U0019_6205b8,thin_file_new_user,2,30,0.354,1068.92,-0.4,4,0.61,0.902,1.4,1.58,6.18,False,True,0.4421999999999999,insufficient_history,Pending - Needs More History
U0020_9671f3,risky_irregular,7,147,0.221,1341.37,-0.236,16,0.0,0.869,1.236,2.215,6.26,False,True,0.2077,high_risk,Bronze
U0021_c472e8,seasonal_farmer,6,53,0.0,58928.68,0.848,7,0.008,0.943,0.152,0.654,0.13,False,True,0.31345,medium_risk,Silver
U0022_042680,fraud_gaming,7,81,0.0,2602.24,-0.131,3,0.646,0.867,1.131,3.247,27.91,True,False,0.32384999999999997,fraud_flag,Rejected - Fraud Review
U0023_074488,risky_irregular,7,140,0.198,1990.4,-0.08,14,0.111,0.879,1.08,2.16,9.13,False,True,0.23445,high_risk,Bronze
U0024_d12219,risky_irregular,7,152,0.545,2658.29,-0.045,12,0.103,0.855,1.045,1.616,5.18,False,True,0.3499,medium_risk,Silver
U0025_b41190,stable_shop_owner,7,253,0.527,6134.32,-0.036,21,0.248,0.865,1.036,1.629,5.91,False,True,0.38860000000000006,low_risk,Platinum/Gold
U0026_960e1b,gig_worker,7,318,0.397,3776.86,-0.032,37,0.172,0.89,1.032,1.656,5.2,False,True,0.32405,medium_risk,Silver
U0027_4d5e70,stable_shop_owner,7,257,0.395,6432.59,-0.023,23,0.265,0.873,1.023,1.477,4.56,False,True,0.3487,medium_risk,Silver
U0028_6c5d89,stable_shop_owner,7,234,0.212,3470.96,-0.067,28,0.0,0.9,1.067,1.479,4.72,False,True,0.2092,high_risk,Bronze
U0029_18da9a,thin_file_new_user,2,22,0.112,967.1,-1.479,2,0.0,0.934,2.479,1.162,2.5,False,True,0.17930000000000001,insufficient_history,Pending - Needs More History
U0030_bb1a10,thin_file_new_user,2,26,0.385,1381.74,-1.059,2,0.0,0.878,2.059,1.209,8.08,False,True,0.26644999999999996,insufficient_history,Pending - Needs More History
U0031_5f3ddb,fraud_gaming,7,92,0.0,2209.2,-0.079,8,0.267,0.921,1.079,3.469,32.31,True,False,0.21825,fraud_flag,Rejected - Fraud Review
U0032_c9abaa,seasonal_farmer,6,77,0.0,63404.2,0.765,10,0.0,0.908,0.235,0.577,0.1,True,True,0.2892,fraud_flag,Rejected - Fraud Review
U0033_1e4528,seasonal_farmer,7,87,0.0,54338.82,0.696,7,0.582,0.893,0.304,0.46,0.09,True,True,0.44775,fraud_flag,Rejected - Fraud Review
U0034_15d5b1,gig_worker,7,290,0.552,3964.74,0.013,28,0.108,0.88,0.987,1.651,5.44,False,True,0.3602,medium_risk,Silver
U0035_9af42e,stable_shop_owner,7,232,0.731,3892.87,-0.074,28,0.205,0.891,1.074,1.776,4.51,False,True,0.45099999999999996,low_risk,Platinum/Gold
U0036_744995,stable_shop_owner,7,224,0.115,3815.33,-0.054,23,0.12,0.88,1.054,1.594,3.99,False,True,0.20825,high_risk,Bronze
U0037_c7e389,gig_worker,7,330,0.704,5066.88,0.02,34,0.0,0.9,0.98,1.642,5.92,False,True,0.38539999999999996,low_risk,Platinum/Gold
U0038_62f579,stable_shop_owner,7,228,0.304,4965.51,-0.043,19,0.0,0.865,1.043,1.535,5.38,False,True,0.23615,high_risk,Bronze
U0039_659ccb,thin_file_new_user,2,27,0.77,1070.19,-0.384,4,0.362,0.917,1.384,1.559,3.05,False,True,0.5156499999999999,insufficient_history,Pending - Needs More History
U0040_184c77,seasonal_farmer,6,81,0.079,72572.92,0.799,5,0.553,0.856,0.201,0.821,0.12,True,True,0.48175,fraud_flag,Rejected - Fraud Review
U0041_411c15,risky_irregular,7,160,0.264,1062.56,-0.278,12,0.079,0.85,1.278,2.123,23.11,False,True,0.24359999999999998,high_risk,Bronze
U0042_e01168,thin_file_new_user,2,23,0.133,1043.84,-0.922,3,0.58,0.925,1.922,1.523,5.21,False,True,0.3593,insufficient_history,Pending - Needs More History
U0043_27d57c,seasonal_farmer,7,68,0.096,129824.5,0.93,10,0.0,0.862,0.07,0.662,0.1,False,True,0.3489,medium_risk,Silver
U0044_6db2b3,risky_irregular,7,149,0.241,2700.84,-0.018,12,0.022,0.878,1.018,1.746,6.26,False,True,0.22264999999999996,high_risk,Bronze
U0045_9a2f8d,risky_irregular,7,148,0.304,1271.15,0.033,15,0.0,0.877,0.967,2.232,7.79,False,True,0.24455,high_risk,Bronze
U0046_9c5f7e,seasonal_farmer,6,89,0.048,125996.32,0.876,7,0.0,0.929,0.124,0.592,0.07,False,True,0.33135000000000003,medium_risk,Silver
