user_id,persona,n_transactions
U0000_45dbab,risky_irregular,160
U0001_227f1e,seasonal_farmer,87
U0002_a8281a,risky_irregular,179
U0003_585ddd,thin_file_new_user,37
U0004_e0c5e6,stable_shop_owner,235
U0005_90ee97,fraud_gaming,75
U0006_6b81f3,risky_irregular,137
U0007_31dba9,risky_irregular,155
U0008_31d089,stable_shop_owner,247
U0009_a3560a,gig_worker,346
U0010_4476d0,seasonal_farmer,79
U0011_b2c6b7,fraud_gaming,102
U0012_9269cb,thin_file_new_user,30
U0013_8406d3,risky_irregular,171
U0014_a85919,seasonal_farmer,69
U0015_990bba,stable_shop_owner,245
U0016_0b4fcb,gig_worker,333
U0017_a004e8,stable_shop_owner,245
U0018_c3e64b,risky_irregular,164
U0019_6205b8,thin_file_new_user,30
U0020_9671f3,risky_irregular,147
U0021_c472e8,seasonal_farmer,53
U0022_042680,fraud_gaming,81
U0023_074488,risky_irregular,140
U0024_d12219,risky_irregular,152
U0025_b41190,stable_shop_owner,253
U0026_960e1b,gig_worker,318
U0027_4d5e70,stable_shop_owner,257
U0028_6c5d89,stable_shop_owner,234
U0029_18da9a,thin_file_new_user,22
U0030_bb1a10,thin_file_new_user,26
U0031_5f3ddb,fraud_gaming,92
U0032_c9abaa,seasonal_farmer,77
U0033_1e4528,seasonal_farmer,87
U0034_15d5b1,gig_worker,290
U0035_9af42e,stable_shop_owner,232
U0036_744995,stable_shop_owner,224
U0037_c7e389,gig_worker,330
U0038_62f579,stable_shop_owner,228
U0039_659ccb,thin_file_new_user,27
U0040_184c77,seasonal_farmer,81
U0041_411c15,risky_irregular,160
U0042_e01168,thin_file_new_user,23
U0043_27d57c,seasonal_farmer,68
U0044_6db2b3,risky_irregular,149
U0045_9a2f8d,risky_irregular,148
U0046_9c5f7e,seasonal_farmer,89
U0047_d1fedb,stable_shop_owner,227
U0048_a2b320,thin_file_new_user,32
U0049_7818c7,stable_shop_owner,239
U0050_1617e9,stable_shop_owner,221
U0051_65cc25,stable_shop_owner,259
U0052_273ce3,risky_irregular,174
U0053_3aa400,thin_file_new_user,24
U0054_197147,thin_file_new_user,13
U0055_aa570a,risky_irregular,165
U0056_f58bb6,gig_worker,330
U0057_0db3ef,gig_worker,329
U0058_6107a3,stable_shop_owner,247
U0059_2762b4,stable_shop_owner,256
U0060_68665a,thin_file_new_user,32
U0061_1ec4a7,gig_worker,319
U0062_4a2111,gig_worker,335
U0063_8b64ea,risky_irregular,151
U0064_1973d6,thin_file_new_user,32
U0065_a657b2,gig_worker,362
U0066_9e4354,gig_worker,289
U0067_84b6c3,seasonal_farmer,83
U0068_55f341,stable_shop_owner,264
U0069_4d8b79,seasonal_farmer,89
U0070_9400e4,stable_shop_owner,254
U0071_56f47e,seasonal_farmer,52
U0072_133f47,risky_irregular,198
U0073_39ccfe,stable_shop_owner,241
U0074_c78ade,stable_shop_owner,295
U0075_bbb37c,stable_shop_owner,285
U0076_08d219,stable_shop_owner,254
U0077_218884,thin_file_new_user,36
U0078_e4067e,gig_worker,316
U0079_7027d9,risky_irregular,195
U0080_991c60,thin_file_new_user,30
U0081_91af4d,seasonal_farmer,82
U0082_894f21,risky_irregular,174
U0083_320dc0,stable_shop_owner,258
U0084_b47dac,stable_shop_owner,245
U0085_7eacfa,stable_shop_owner,199
U0086_e05a4f,thin_file_new_user,24
U0087_6f6684,gig_worker,299
U0088_a521f3,stable_shop_owner,257
U0089_46a330,gig_worker,313
U0090_89b7fa,stable_shop_owner,249
U0091_3f3392,thin_file_new_user,35
U0092_29eb31,seasonal_farmer,71
