user_id,persona,n_transactions
U0000_4a17e4,risky_irregular,160
U0001_a5004c,seasonal_farmer,87
U0002_5ad29a,risky_irregular,179
U0003_bcb38e,thin_file_new_user,37
U0004_7f9e79,stable_shop_owner,235
U0005_18fccc,fraud_gaming,75
U0006_d3bb34,risky_irregular,137
U0007_76863a,risky_irregular,155
U0008_ac84f8,stable_shop_owner,247
U0009_d06950,gig_worker,346
U0010_532a33,seasonal_farmer,79
U0011_3fe140,fraud_gaming,102
U0012_8c993a,thin_file_new_user,30
U0013_635fd5,risky_irregular,171
U0014_067771,seasonal_farmer,69
U0015_4c76b4,stable_shop_owner,245
U0016_95e0fd,gig_worker,333
U0017_e45b7a,stable_shop_owner,245
U0018_c05c43,risky_irregular,164
U0019_5cf1c6,thin_file_new_user,30
U0020_fa82ec,risky_irregular,147
U0021_b1dd3e,seasonal_farmer,53
U0022_8517e6,fraud_gaming,81
U0023_42f90a,risky_irregular,140
U0024_46d6a0,risky_irregular,152
U0025_fc720f,stable_shop_owner,253
U0026_f8d738,gig_worker,318
U0027_cda177,stable_shop_owner,257
U0028_14aadf,stable_shop_owner,234
U0029_e79825,thin_file_new_user,22
U0030_258d6f,thin_file_new_user,26
U0031_31d345,fraud_gaming,92
U0032_a92d9d,seasonal_farmer,77
U0033_0ef5c5,seasonal_farmer,87
U0034_080987,gig_worker,290
U0035_976601,stable_shop_owner,232
U0036_5e213a,stable_shop_owner,224
U0037_92ae6c,gig_worker,330
U0038_29822a,stable_shop_owner,228
U0039_ee0029,thin_file_new_user,27
U0040_c56abf,seasonal_farmer,81
U0041_b5bcaa,risky_irregular,160
U0042_08baca,thin_file_new_user,23
U0043_2fbbf6,seasonal_farmer,68
U0044_1e4db8,risky_irregular,149
U0045_ea1098,risky_irregular,148
U0046_afbdec,seasonal_farmer,89
U0047_d57bdf,stable_shop_owner,227
U0048_4a0515,thin_file_new_user,32
U0049_99f2e4,stable_shop_owner,239
U0050_3af435,stable_shop_owner,221
U0051_fbd844,stable_shop_owner,259
U0052_59af66,risky_irregular,174
U0053_74bc61,thin_file_new_user,24
U0054_3a950c,thin_file_new_user,13
U0055_32f24b,risky_irregular,165
U0056_742de7,gig_worker,330
U0057_1864be,gig_worker,329
U0058_9fe65e,stable_shop_owner,247
U0059_4ed7e0,stable_shop_owner,256
U0060_58c4d8,thin_file_new_user,32
U0061_97adb0,gig_worker,319
U0062_b5d78c,gig_worker,335
U0063_4d5263,risky_irregular,151
U0064_9abc09,thin_file_new_user,32
U0065_33b640,gig_worker,362
U0066_0a6544,gig_worker,289
U0067_a0ff42,seasonal_farmer,83
U0068_8efb45,stable_shop_owner,264
U0069_502a36,seasonal_farmer,89
U0070_f87d9b,stable_shop_owner,254
U0071_694c3b,seasonal_farmer,52
U0072_9cd5c5,risky_irregular,198
U0073_450703,stable_shop_owner,241
U0074_16a6c5,stable_shop_owner,295
U0075_c922e6,stable_shop_owner,285
U0076_0d2d7b,stable_shop_owner,254
U0077_537801,thin_file_new_user,36
U0078_2ea201,gig_worker,316
U0079_52c11a,risky_irregular,195
U0080_95eec8,thin_file_new_user,30
U0081_4fc785,seasonal_farmer,82
U0082_9b90ef,risky_irregular,174
U0083_b44248,stable_shop_owner,258
U0084_7d728c,stable_shop_owner,245
U0085_1af6f3,stable_shop_owner,199
U0086_0767a7,thin_file_new_user,24
U0087_9cef1c,gig_worker,299
U0088_4725d7,stable_shop_owner,257
U0089_1297b0,gig_worker,313
U0090_5e1b63,stable_shop_owner,249
U0091_31d5d9,thin_file_new_user,35
U0092_67d6ec,seasonal_farmer,71
U0093_dc1296,seasonal_farmer,71
U0094_94cb91,seasonal_farmer,93
U0095_2597b0,thin_file_new_user,17
U0096_f38427,seasonal_farmer,80
U0097_4660db,stable_shop_owner,244
U0098_b021a0,stable_shop_owner,234
U0099_94bee0,fraud_gaming,82
U0100_8387a1,fraud_gaming,73
U0101_283448,thin_file_new_user,22
U0102_9354e2,stable_shop_owner,241
U0103_8f9793,fraud_gaming,84
U0104_f65a00,risky_irregular,141
U0105_466f95,thin_file_new_user,25
U0106_1d2551,seasonal_farmer,74
U0107_d6669f,stable_shop_owner,253
U0108_31e6d1,stable_shop_owner,245
U0109_c7794e,fraud_gaming,88
U0110_a56adc,gig_worker,328
U0111_1267fd,stable_shop_owner,211
U0112_6f59dc,seasonal_farmer,84
U0113_5854a7,gig_worker,311
U0114_74f766,stable_shop_owner,250
U0115_f8fef0,risky_irregular,116
U0116_ce4686,risky_irregular,176
U0117_4de255,thin_file_new_user,28
U0118_542cb8,seasonal_farmer,83
U0119_9f78d8,thin_file_new_user,28
U0120_f7aa4b,gig_worker,324
U0121_d3e4d0,thin_file_new_user,26
U0122_de496f,stable_shop_owner,273
U0123_9c8411,seasonal_farmer,65
U0124_8688d8,stable_shop_owner,264
